"Estimate"	"StdError"	"tvalue"	"Pr"	"asv"	"Class"	"Order"	"Family"
-0.0319071537642888	0.00769714671067182	"-4.1453222815736"	"0.000255743826727938"	"ASV10"	"Alphaproteobacteria"	"Rhodobacterales"	"Paracoccaceae"
-0.0518087660493519	0.0141985155880097	"-3.64888609152234"	"0.000992164684158742"	"ASV62"	"Gammaproteobacteria"	"Ga0077536"	"Ga0077536"
-0.0424749693477924	0.0121304307208472	"-3.50152194305807"	"0.00147085168121552"	"ASV151"	"Bacteroidia"	"Cytophagales"	"Cyclobacteriaceae"
-0.0294701419805365	0.010837053554985	"-2.71938694692343"	"0.0107691192463875"	"ASV177"	"Bacteroidia"	"Chitinophagales"	"Saprospiraceae"
-0.0967776357013958	NA	NA	NA	"ASV328"	"Thermoanaerobaculia"	"Thermoanaerobaculales"	"Thermoanaerobaculaceae"
-3.06634484825293	NA	NA	NA	"ASV386"	"Polyangiia"	"Polyangiales"	"Polyangiales"
-0.0777169565823517	0.0720957843091736	"-1.07796811321273"	"0.289639744321947"	"ASV409"	"Gammaproteobacteria"	"UBA10353 marine group"	"UBA10353 marine group"
-0.0705006288379511	NA	NA	NA	"ASV461"	"Bacteroidia"	"Cytophagales"	"Flammeovirgaceae"
-0.0773984639950282	NA	NA	NA	"ASV466"	"Gammaproteobacteria"	"Pseudomonadales"	"Oleiphilaceae"
-0.0822474154329813	NA	NA	NA	"ASV496"	"Gammaproteobacteria"	"pItb-vmat-80"	"pItb-vmat-80"
-3.0688711579537	NA	NA	NA	"ASV525"	"Gammaproteobacteria"	"Pseudomonadales"	"Microbulbiferaceae"
-0.134557751886395	NA	NA	NA	"ASV533"	"Planctomycetes"	"Planctomycetales"	"Gimesiaceae"
-3.1541758455346	NA	NA	NA	"ASV553"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Thermotaleaceae"
-0.0664688392763876	NA	NA	NA	"ASV560"	"Verrucomicrobiia"	"Pedosphaerales"	"Pedosphaeraceae"
-0.0512457295961416	NA	NA	NA	"ASV567"	"Gammaproteobacteria"	"Pseudomonadales"	"Thioglobaceae"
-3.14575354284067	NA	NA	NA	"ASV585"	"Gammaproteobacteria"	"Tenderiales"	"Tenderiaceae"
-0.00719724474427554	0.0162329237750793	"-0.4433732853058"	"0.660676887427147"	"ASV602"	"Alphaproteobacteria"	"Holosporales"	"Holosporaceae"
-0.0139850112652506	NA	NA	NA	"ASV604"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriales"
-3.13624355532518	NA	NA	NA	"ASV616"	"Desulfobulbia"	"Desulfobulbales"	"Desulfobulbaceae"
