""	"input"	"filtered"	"denoised"	"merged"	"tabled"
"MK48-5-2455-DD-B"	89532	61268	60828	57963	51083
"MK48-5-2455-HD-B"	65482	44873	44572	42236	39491
"MK48-5-2461-DD-B"	35880	24274	23969	22515	19275
"MK48-5-2461-HD-B"	37417	25910	25620	24063	19831
"MK48-5-2470-DD-B"	65884	44856	44294	41482	32463
"MK48-5-2470-HD-B"	43580	29480	29092	27328	22925
"MK48-5-2476-DD-B"	86085	59355	58800	54955	46240
"MK48-5-2476-HD-B"	54021	37140	36889	35048	32351
"MK48-5-2488-DD-B"	63230	43051	42703	40131	37333
"MK48-5-2488-HD-B"	70103	47310	46966	44383	39203
"MK48-5-2612-DD-B"	80636	77608	77013	75638	72385
"MK48-5-2612-HD-B"	48042	45219	45031	44515	43779
"MK48-5-2623-DD-B"	65763	63342	62729	59951	50845
"MK48-5-2623-HD-B"	76787	72755	72403	71170	67913
"MK48-5-2636-DD-B"	57135	54957	54595	52503	44086
"MK48-5-2636-HD-B"	63081	60363	60130	58400	46852
"MK48-5-2637-DD-B"	53633	51420	51193	49341	38942
"MK48-5-2637-HD-B"	56226	50671	49844	47587	41846
"MK48-5-2641-DD-B"	29467	27290	27038	26153	23062
"MK48-5-2641-HD-B"	26404	24285	24115	23359	18924
"MK48-5-2642-DD-B"	30239	27613	27440	26567	23419
"MK48-5-2642-HD-B"	17451	17278	17173	16683	15294
"MK48-5-2649-DD-B"	6693	5374	5250	5082	5038
"MK48-5-2649-HD-B"	17899	15554	15407	14987	14484
"MK48-5-2657-DD-B"	40616	37781	37460	35891	29099
"MK48-5-2657-HD-B"	7120	5797	5527	4961	4800
"MK48-5-2664-DD-B"	48732	47167	46974	46092	41711
"MK48-5-2664-HD-B"	33287	31650	31498	30931	29283
"MK48-5-2667-DD-B"	42049	39645	39366	37908	36181
"MK48-5-2667-HD-B"	46838	44622	44422	43549	39859
"MK48-5-2692-DD-B"	27281	25193	25029	24313	22376
"MK48-5-2692-HD-B"	29729	27115	26805	25847	23340
"MK48-5-2696-DD-B"	31032	28354	26777	23335	22286
"MK48-5-2696-HD-B"	44013	41815	41571	40326	34830
