	Kingdom	Phylum	Class	Order	Family	MK48-5-2455-DD-B	MK48-5-2455-HD-B	MK48-5-2461-DD-B	MK48-5-2461-HD-B	MK48-5-2470-DD-B	MK48-5-2470-HD-B	MK48-5-2476-DD-B	MK48-5-2476-HD-B	MK48-5-2488-DD-B	MK48-5-2488-HD-B	MK48-5-2612-DD-B	MK48-5-2612-HD-B	MK48-5-2623-DD-B	MK48-5-2623-HD-B	MK48-5-2636-DD-B	MK48-5-2636-HD-B	MK48-5-2637-DD-B	MK48-5-2637-HD-B	MK48-5-2641-DD-B	MK48-5-2641-HD-B	MK48-5-2642-DD-B	MK48-5-2642-HD-B	MK48-5-2649-DD-B	MK48-5-2649-HD-B	MK48-5-2657-DD-B	MK48-5-2657-HD-B	MK48-5-2664-DD-B	MK48-5-2664-HD-B	MK48-5-2667-DD-B	MK48-5-2667-HD-B	MK48-5-2692-DD-B	MK48-5-2692-HD-B	MK48-5-2696-DD-B	MK48-5-2696-HD-B
16	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	0	0	0.000548576	0	0	0	0.000526062	0	0.000324307	0	0	0	0.006631825	0	0.004475703	0	0.000412286	0	0.001607857	0	0.0011994	0	0.016337233	0	0.00089507	0	0	0	0.002445871	0	0	0	0.008261732	0
11	Bacteria	Pseudomonadota	Alphaproteobacteria	Pelagibacterales	Clade I	0.000511449	0.000685279	0.002194306	0	0.00151398	0.001457589	0	0.000404556	0.0035944	0.001516419	0.00029159	0.000182983	0.000475116	0.000531279	0	0.000556209	0	0.000410896	0	0	0	0	0	0.000488998	0.000137703	0.005802708	0.000648073	0	0	0.000251042	0	0.000692521	0.001982816	0.000518075
13	Bacteria	Pseudomonadota	Alphaproteobacteria	Puniceispirillales	SAR116 clade	0	0	0.00093258	0.000269614	0.000901946	0.001363551	0	0.000342317	0.000864818	0.000418323	0.000263819	0.000274474	0.000435523	0.000250882	0.000137011	0.000149749	7.73E-05	0	0.000173822	0.000158797	0	0.000327418	0.000403388	0.000977995	0	0.011820331	0.000336038	0	0	0.000200833	0	0.001125346	0.001872659	0.000230256
32	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	0.011291211	0.002538071	0.140545285	0.029387975	0.003317871	0.02435584	0.021634299	0	0.012620939	0.003058983	0.008095086	0.001235133	0.032723601	0.003158159	0.206270552	0.001968125	0.013218924	0.003891427	0.365765687	0.001058649	0.013664596	0.004649335	0.730939895	0.000838282	0.019416139	0.021921341	0.00124814	0.00027356	0.002668223	0.001230105	0.011989762	0.005064058	0.406201807	0.002993323
23	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	0.000255724	0.000228426	0.001700587	0.001509841	0.000773096	0.00094038	0	0	0.002189071	0.002039322	5.55E-05	9.15E-05	0.000277151	0.000177093	9.13E-05	0.000192534	0.000257679	0.000241704	0.000130367	0	0.000257014	0.000130967	0	0.000419141	0.000103277	0.006232538	0.00062407	0.000102585	0	0.000125521	0.000269433	0.000519391	0.001321877	0.000172692
29	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillales	0.015776222	0	0	0.001401995	0	0.000564228	0.28096094	0.000622394	0.003891682	0.014301401	0.00645663	0.021271729	0.103100131	0.002390756	0	0	0	0	0	0	0.000385522	0.006089974	0	0.000558854	0	0	0.05285392	0.057823827	0.051363295	0.001104584	0	0	0	0
33	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	5.90E-05	0	0	0	0	0.000329133	0.000197273	0	0	0	0.000222164	0	7.92E-05	0	9.13E-05	0	0	0.000725111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019001983	0
25	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	0.004740735	0.005583756	0.022491634	0.025613373	0.012015204	0.090793681	0.00291526	0.002240617	0.013701962	0.021700481	0.002318833	0.002287283	0.010828681	0.006700019	0.014591706	0.003893465	0.00304061	0.003794745	0.014166522	0.003969934	0.001841936	0.001506123	0.018152481	0.000279427	0.001377031	0.025145068	0.002016226	0.000376146	0.023207982	0.000251042	0.004131304	0.009868421	0.04064772	0.003943127
66	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	0.004366984	0.001040609	0.000713149	0.003504988	0.001288494	0	0.000986366	0.009180307	0.006242906	0.019791885	0	0	0.006453656	0.006552442	0	0	0	0.002247843	0.002781158	0.001323311	0.000471193	0	0.000605083	0.003562696	0	0	0.000384043	0.000889071	0.000722644	0	0.001167542	0.000129848	0.00093633	0.001208842
39	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	0.260760091	0.001472081	0	0	0	0.007099868	0.045723554	0.000684633	0.000135128	0.005281322	0.000249934	0.004414456	0.043255335	0.010330426	0.000365364	0	0.000953412	0.000314215	0.033330436	0.00021173	0.002056115	0.003732565	0.013513514	0	0.000929496	0	0.000408046	0.009882369	0.103532616	0.000828438	0.001167542	0	0	0.000172692
71	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	0.000216382	0	0	0	0	0	0.117881724	0	0	0	0.000624835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
